id,codigo,nombre,estado,municipio,region,cantidad_postes,fecha_autorizacion
vgt_2023_p_226,VGT-2023-P-226,SOLICITUD DE PERMISOLOGIA CAPACHO,TACHIRA,INDEPENDENCIA,andes,1282,2023-06-28
vgt_2023_p_236,VGT-2023-P-236,SOLICITUD DE PERMISOLOGIA EL VALLE,TACHIRA,INDEPENDENCIA,andes,613,2023-06-28
vgt_2023_p_241,VGT-2023-P-241,SOLICITUD DE PERMISOLOGIA PALO GORDO,TACHIRA,CARDENAS,andes,622,2023-06-28
vgt_2023_p_242,VGT-2023-P-242,SOLICITUD DE PERMISOLOGIA SAN JOSECITO,TACHIRA,TORBES,andes,746,2023-06-28
vgt_2023_p_247,VGT-2023-P-247,SOLICITUD DE PERMISOLOGIA LA FRÍA,TACHIRA,GARCIA DE HEVIA,andes,247,2023-06-28
vgt_2023_p_251,VGT-2023-P-251,SOLICITUD DE PERMISOLOGIA MICHELENA,TACHIRA,MICHELENA,andes,403,2023-06-28
vgt_2023_p_253,VGT-2023-P-253,SOLICITUD DE PERMISOLOGIA EL PALMAR,TACHIRA,SAN CRISTOBAL,andes,924,2023-06-28
vgt_2023_p_249,VGT-2023-P-249,SOLICITUD DE PERMISOLOGIA UREÑA,TACHIRA,PEDRO MARIA UREÑA,andes,311,2023-08-07
vgt_2023_p_124,VGT-2023-P-124,SOLICITUD DE PERMISOLOGIA 23 DE ENERO,TACHIRA,SAN CRISTOBAL,andes,1218,2023-07-21
vgt_2023_p_227,VGT-2023-P-227,SOLICITUD DE PERMISOLOGIA MIRADOR,TACHIRA,SAN CRISTOBAL,andes,331,2023-07-21
vgt_2023_p_228,VGT-2023-P-228,SOLICITUD DE PERMISOLOGIA EL LLANITO,TACHIRA,SAN CRISTOBAL,andes,111,2023-07-21
vgt_2023_p_238,VGT-2023-P-238,SOLICITUD DE PERMISOLOGIA TARIBA,TACHIRA,CARDENAS,andes,556,2023-07-21
vgt_2023_p_248,VGT-2023-P-248,SOLICITUD DE PERMISOLOGIA RUBIO,TACHIRA,JUNIN,andes,1695,2023-07-21
vgt_2023_p_245,VGT-2023-P-245,SOLICITUD DE PERMISOLOGIA LLANO GORGE,TACHIRA,BOLIVAR,andes,200,2023-07-21
vgt_2023_p_244,VGT-2023-P-244,SOLICITUD DE PERMISOLOGIA ROMULO GALLEGOS,TACHIRA,SAN CRISTOBAL,andes,548,2023-07-21
vgt_2023_p_252,VGT-2023-P-252,SOLICITUD DE PERMISOLOGIA BARRIO OBRERO,TACHIRA,SAN CRISTOBAL,andes,51,2023-07-27
vgt_2023_p_250,VGT-2023-P-250,SOLICITUD DE PERMISOLOGIA ABEJALES,TACHIRA,LIBERTADOR,andes,191,2023-08-07
vgt_2023_p_809,VGT-2023-P-809,TENDIDO DE FIBRA OPTICA SECTOR LA POPA,TACHIRA,SAN CRISTOBAL,andes,95,2023-09-13
vgt_2023_p_759,VGT-2023-P-759,TENDIDO DE FIBRA OPTICA SECTOR SANTA TERESA,TACHIRA,SAN CRISTOBAL,andes,220,2023-09-13
vgt_2023_p_744,VGT-2023-P-744,TENDIDO DE FIBRA OPTICA SECTOR ZORCA,TACHIRA,SAN CRISTOBAL,andes,268,2023-09-13
vgt_2023_p_860,VGT-2023-P-860,TENDIDO DE FIBRA ÓPTICA SAN ANTONIO DEL TACHIRA,TACHIRA,BOLIVAR,andes,363,2023-10-17
vgt_2023_p_905,VGT-2023-P-905,TENDIDO DE FIBRA ÓPTICA LA GRITA,TACHIRA,JAUREGUI,andes,741,2023-10-17
vgt_2023_p_1032,VGT-2023-P-1032,TENDIDO DE FIBRA ÓPTICA COPA ORO,TACHIRA,GUASIMOS,andes,589,2023-10-17
vgt_2023_p_1040,VGT-2023-P-1040,TENDIDO DE FIBRA ÓPTICA LAS ADJUNTAS,TACHIRA,BOLIVAR,andes,55,2023-10-17
vgt_2023_p_1060,VGT-2023-P-1060,TENDIDO DE FIBRA ÓPTICA RUBIO,TACHIRA,JUNIN,andes,757,2023-10-17
vgt_2023_p_1062,VGT-2023-P-1062,TENDIDO DE FIBRA ÓPTICA EL RECREO,TACHIRA,BOLIVAR,andes,62,2023-10-17
vgt_2023_p_1071,VGT-2023-P-1071,TENDIDO DE FIBRA ÓPTICA TRONCAL CAPACHO- SAN ANTONIO DEL TÁCHIRA,TACHIRA,BOLIVAR,andes,168,2023-10-17
vgt_2023_p_1080,VGT-2023-P-1080,TENDIDO DE FIBRA ÓPTICA MESAS DE SEBORUCO,TACHIRA,ANTONIO ROMULO ACOSTA,andes,362,2023-10-17
vgt_2023_p_1085,VGT-2023-P-1085,TENDIDO DE FIBRA ÓPTICA EL COBRE,TACHIRA,JOSE MARIA VARGAS,andes,218,2023-10-17
vgt_2023_p_1086,VGT-2023-P-1086,TENDIDO DE FIBRA ÓPTICA TRONCAL DE EL COBRE,TACHIRA,JOSE MARIA VARGAS,andes,186,2023-10-17
vgt_2023_p_1078,VGT-2023-P-1078,TENDIDO DE FIBRA ÓPTICA SEBORUCO,TACHIRA,SEBORUCO,andes,119,2023-12-04
vgt_2024_p_48,VGT-2024-P-48,TENDIDO DE FIBRA OPTICA SECTOR PREGONERO,TACHIRA,URIBANTE,andes,281,2024-01-01
vgt_2023_p_1608,VGT-2023-P - 1608,TENDIDO DE FIBRA OPTICA SECTOR LA TENDIDA EDO. TACHIRA,TACHIRA,SAMUEL DARIO MALDONADO,andes,342,2024-02-09
vgt_2023_p_1610,VGT-2023-P-1610,TENDIDO DE FIBRA OPTICA SECTOR HERNANDEZ EDO. TACHIRA,TACHIRA,SAMUEL DARIO MALDONADO,andes,181,2024-02-09
vgt_2024_p_82,VGT-2024-P-82,PROYECTO LA PALMITA EDO. TÁCHIRA,TACHIRA,PANAMERICANO,andes,142,2024-04-02
vgt_2023_p_1364,VGT-2023-P-1364,SAN LORENZO ETAPA I,TACHIRA,FERNANDEZ FEO,andes,209,2024-05-16
vgt_2024_p_35,VGT-2024-P-35,SAN LORENZ III ETAPA,TACHIRA,FERNANDEZ FEO,andes,56,2024-05-16
vgt_2024_p_83,VGT-2024-P-83,TENDIDO DE FIBRA ÓPTICA PUERTO NUEVO - EDO. TÁCHIRA,TACHIRA,LIBERTADOR,andes,138,2024-05-16
vgt_2023_p_1341,VGT-2023-P-1341,TENDIDO DE FIBRA ÓPTICA SECTOR VEGA DE CEDRO,TACHIRA,LIBERTAD,andes,60,2023-11-01
vgt_2024_p_113,VGT-2024-P-113,PROYECTO COLONCITO LA TENDIDA,TACHIRA,SAMUEL DARIO MALDONADO,andes,484,2024-02-01
vgt_2024_p_811,VGT-2024-P-811,PROYECTO RUTA FIBRA ÓPTICA CHURURU,TACHIRA,FERNANDEZ FEO,andes,95,2024-10-03
vgt_2024_p_812,VGT-2024-P-812,RUTA FIBRA OPTICA LOS NARANJOS,TACHIRA,FERNANDEZ FEO,andes,205,2024-10-03
vgt_2024_p_818,VGT-2024-P-818,TENDIDO FIBRA OPTICA EL PIÑAL,TACHIRA,SAN JUDAS TADEO,andes,342,2024-10-03
vgt_2024_p_1690,VGT-2024-P-1690,PROYECTO RED GPON UMUQUENA,TACHIRA,LIBERTADOR - ANDRES ELOY BLANCO BARINAS,andes,251,2024-10-17
vgt_2024_p_1046,VGT-2024-P-1046,RUTA FIBRA OPTICA PUERTO NEVO EL CANTON,TACHIRA,PANAMERICANO,andes,227,2024-10-17
vgt_2024_p_1464,VGT-2024-P-1464,"TENDIDO FIBRA OPTICA  RED GPON COLONCITO, EDO TACHIRA",TACHIRA,GUASIMOS,andes,1253,2024-09-23
vgt_2024_p_2107,VGT-2024-P-2107,PROYECTO EL ABEJAL DE PALMIRA VELLA VISTA,TACHIRA,CARDENAS,andes,69,2024-11-28
vgt_2023_p_243,VGT-2023-P-243,SOLICITUD DE PERMISOLOGIA TUCAPE,TACHIRA,SAN JUDAS TADEO,andes,7,2023-08-11
